id,name,default_code,qty_available,list_price,categ_id,uom_id
137657,Destornillador Felo Cabo Negro Y Rojo 502 Ph 2X300,12320,0,81626.96,All,Units
137658,Destornillador Felo Cabo Negro Y Rojo 508 Tx 5X60,12321,0,38122.94,All,Units
137659,Destornillador Felo Cabo Negro Y Rojo 508 Tx 6X60,12322,0,38122.94,All,Units
137660,Destornillador Felo Cabo Negro Y Rojo 508 Tx 7X60,12323,0,38122.94,All,Units
137661,Destornillador Felo Cabo Negro Y Rojo 508Tx 45X125,12324,0,38122.94,All,Units
137662,Destornillador Felo Corto Reversible 326,12241,0,34894.28,All,Units
137663,Destornillador Felo Ergonic 400  10.0X200,12268,0,94044.87,All,Units
137664,Destornillador Felo Ergonic 400  2.5X75,12259,0,26615.69,All,Units
137665,Destornillador Felo Ergonic 400  3.0X80,12260,0,27816.09,All,Units
137666,Destornillador Felo Ergonic 400  3.5X100,12261,0,29554.59,All,Units
137667,Destornillador Felo Ergonic 400  4.0X100,12262,0,38122.94,All,Units
137668,Destornillador Felo Ergonic 400  5.0X150,12263,0,46111.78,All,Units
137669,Destornillador Felo Ergonic 400  5.5X125,12264,0,45242.53,All,Units
137670,Destornillador Felo Ergonic 400  5.5X150,12265,0,57701.83,All,Units
137671,Destornillador Felo Ergonic 400  6.5X150,12266,0,57080.93,All,Units
137672,Destornillador Felo Ergonic 400  8.0X175,12267,0,78108.56,All,Units
137673,Destornillador Felo Ergonic 401 Pz 1X80,12269,0,43131.49,All,Units
137674,Destornillador Felo Ergonic 401 Pz 2X100,12270,0,55880.53,All,Units
137675,Destornillador Felo Ergonic 401 Pz 3X150,12271,0,83738.01,All,Units
137676,Destornillador Felo Ergonic 402 Ph 1X80,12272,0,43131.49,All,Units
137677,Destornillador Felo Ergonic 402 Ph 2X100,12273,0,55880.53,All,Units
137678,Destornillador Felo Ergonic 402 Ph 2X150,12274,0,60889.08,All,Units
137679,Destornillador Felo Ergonic 402 Ph 2X200,12275,0,75997.52,All,Units
137680,Destornillador Felo Ergonic 402 Ph 3X150,12276,0,84565.87,All,Units
137681,Destornillador Felo Ergonic 408 Tx  10X100,12280,0,51161.73,All,Units
137682,Destornillador Felo Ergonic 408 Tx  15X100,12281,0,51161.73,All,Units
137683,Destornillador Felo Ergonic 408 Tx  20X100,12282,0,57080.93,All,Units
137684,Destornillador Felo Ergonic 408 Tx  25X100,12283,0,57080.93,All,Units
137685,Destornillador Felo Ergonic 408 Tx  27X100,12284,0,57412.07,All,Units
137686,Destornillador Felo Ergonic 408 Tx  30X115,12285,0,70699.22,All,Units
137687,Destornillador Felo Ergonic 408 Tx  40X125,12286,0,75997.52,All,Units
137688,Destornillador Felo Ergonic 408 Tx  7X60,12277,0,45242.53,All,Units
137689,Destornillador Felo Ergonic 408 Tx  8X60,12278,0,45242.53,All,Units
137690,Destornillador Felo Ergonic 408 Tx  9X60,12279,0,45242.53,All,Units
137691,Destornillador Felo Phillips        602-2X500Mm,12348,0,149635.64,All,Units
127649,Destornillador Flexible Con 12 Puntas Total,71403,0,13120.95,All / Ferretería,Units
42912,Destornillador Inalambrico PT-0721F C/FSW9050 **,57852,0,167795.58,All,Units
44394,Destornillador MGO BIC PHILIPS PH 2X300,71795,0,20195.32,All,Units
43937,Destornillador Mango Bic Punta Phillips 2x150,55336,0,9488.37,All,Units
41681,Destornillador Mango De Goma PH #2 Ø6x100,55960,12.0,6100.54,All,Units
41719,Destornillador Mango De goma PH + #0 (Ø3x75mm,56118,0,3754.86,All,Units
41720,Destornillador Mango De goma PH + #1 (Ø4x100mm),56119,18.0,4224.28,All,Units
41721,Destornillador Mango De goma PH + #1 (Ø5x100mm),56120,28.0,5006.17,All,Units
41722,Destornillador Mango De goma PH + #1 (Ø5x125mm),56121,9.0,5163.11,All,Units
41723,Destornillador Mango De goma PH + #1 (Ø5x150mm),56122,9.0,5475.13,All,Units
42497,Destornillador Mango De goma PH + #1 (Ø5x300mm),64763,1.0,7651.83,All,Units
41724,Destornillador Mango De goma PH + #2 (Ø6x125mm),56123,5.0,6257.02,All,Units
41725,Destornillador Mango De goma PH + #2 (Ø6x150mm),56124,12.0,6569.95,All,Units
42498,Destornillador Mango De goma PH + #2 (Ø6x300mm),64764,-1.0,9307.14,All,Units
41900,Destornillador Mango Goma PH + #0 Ø3x200mm,58317,-1.0,4380.28,All,Units
41901,Destornillador Mango Goma PH + #2 Ø6x38mm,58318,0,5163.11,All,Units
42220,Destornillador Mango Goma PH + #3 (Ø8x200mm),59807,0,10324.35,All,Units
41902,Destornillador Mango Goma PL - #3 Ø3x100mm,58319,3.0,3754.86,All,Units
41903,Destornillador Mango Goma PL - #3 Ø3x150mm,58320,0,3910.87,All,Units
41904,Destornillador Mango Goma PL - #4 Ø4x100mm,58321,9.0,4224.28,All,Units
41905,Destornillador Mango Goma PL - #4 Ø4x125mm,58322,23.0,4380.28,All,Units
41906,Destornillador Mango Goma PL - #5.5 Ø 5.5x100mm,58323,6.0,5006.17,All,Units
41907,Destornillador Mango Goma PL - #5.5 Ø 5x125mm,58324,2.0,5163.11,All,Units
41908,Destornillador Mango Goma PL - #5.5 Ø 5x150mm,58325,5.0,5475.13,All,Units
41909,Destornillador Mango Goma PL - #6.5 Ø 6x100mm,58326,6.0,6100.54,All,Units
41910,Destornillador Mango Goma PL - #6.5 Ø 6x125mm,58327,5.0,6257.02,All,Units
41911,Destornillador Mango Goma PL - #6.5 Ø 6x150mm,58328,0,6569.95,All,Units
41912,Destornillador Mango Goma PL - #8 Ø8x200mm,58329,1.0,10324.35,All,Units
41913,Destornillador Mango Goma PL - #8 Ø8x250mm,58330,0,11106.71,All,Units
